categories,count,average,median
"Single-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Partial Controller Support;Steam Cloud",1,17,17
Single-player;Multi-player;MMO,1,70,102
"Single-player;Multi-player;Partial Controller Support;Valve Anti-Cheat enabled",1,74,74
"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud",1,327,403
"Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards",1,5123,230
"Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support",1,559,392
"Single-player;Co-op;Steam Cloud",1,154,154
"Multi-player;MMO;Co-op;Steam Achievements;Full controller support;In-App Purchases",1,2514,638
"Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled",1,999,580
"Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards",1,170,168
"Single-player;Shared/Split Screen;Steam Trading Cards;Includes level editor",1,355,374
"Single-player;Multi-player;Online Multi-Player;Steam Trading Cards",1,91,97
"Single-player;Multi-player;Co-op;Steam Trading Cards;Steam Cloud",1,628,293
"Single-player;Online Multi-Player;Online Co-op;VR Support;Partial Controller Support",1,0,0
Multi-player;Co-op,1,128,75
"Multi-player;Co-op;Mods;Mods (require HL2);Steam Achievements;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor;Includes Source SDK",1,948,86
"Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Mods;Steam Achievements;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes level editor;Includes Source SDK",1,117,197
"Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes level editor",1,971,1184
"Multi-player;Cross-Platform Multiplayer;Steam Cloud;Includes level editor;Includes Source SDK",1,701,1378
"Single-player;Steam Achievements;Partial Controller Support;Includes level editor",1,9,9
"Single-player;Co-op;Partial Controller Support",1,0,0
"Single-player;Steam Trading Cards;Includes level editor",1,415,597
"Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Steam Leaderboards",1,181,99
"Partial Controller Support;Steam Cloud",1,28,28
"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer;Steam Achievements",1,0,0
"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Cloud;Stats",1,253,380
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Steam Cloud;Steam Leaderboards",1,287,385
"Multi-player;MMO;Steam Achievements;Full controller support",1,2990,3851
"Single-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats",1,444,248
"Single-player;Multi-player;Steam Achievements;Partial Controller Support;Stats;Steam Leaderboards",1,10,10
"Single-player;Multi-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards",1,0,0
"Single-player;Multi-player;Local Multi-Player;Partial Controller Support;Steam Cloud",1,141,221
"Single-player;Shared/Split Screen;Full controller support;Steam Cloud",1,243,266
"Single-player;Shared/Split Screen;Partial Controller Support;Steam Cloud",1,0,0
"Single-player;Multi-player;Online Multi-Player;Steam Cloud",1,395,219
"Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor",1,771,269
"Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor",1,421,319
"Single-player;Multi-player;Co-op;Valve Anti-Cheat enabled;Stats;Steam Leaderboards",1,54,46
"Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards;In-App Purchases",1,4104,1997
"Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Partial Controller Support",1,28897,9324
"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards",1,154,222
"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats",1,1278,1257
"Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Includes level editor",1,0,0
"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor",1,378,215
"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Partial Controller Support;Stats;Includes level editor",1,333,657
"Single-player;Steam Achievements;Steam Cloud;Includes level editor",1,1108,1144
"Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards",1,112,128
"Single-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud",1,369,369
"Single-player;Multi-player;Online Multi-Player",1,0,0
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards",1,589,369
"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards",1,340,243
"Single-player;Multi-player;Cross-Platform Multiplayer;Partial Controller Support",1,65,109
"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Trading Cards;Steam Workshop;Includes level editor",1,0,0
"Single-player;Multi-player;Steam Trading Cards;Includes level editor",1,506,758
"Online Multi-Player;MMO;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards",1,329,421
"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Workshop",1,7932,1884
"Multi-player;Steam Achievements;Steam Leaderboards",1,0,0
"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards",1,293,301
"Partial Controller Support",1,130,257
"Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled",1,1772,126
"Single-player;Co-op;Steam Achievements;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards",1,307,436
"Single-player;Steam Achievements;Full controller support;Captions available;Includes level editor;Commentary available",1,173,41
"Single-player;Local Co-op;Steam Achievements",1,36,36
"Single-player;Steam Achievements;Full controller support;Partial Controller Support;Steam Cloud;Steam Leaderboards",1,25,25
"Single-player;Multi-player;Steam Achievements;Valve Anti-Cheat enabled",1,11,11
"Single-player;Multi-player;Co-op;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards",1,1595,1595
"Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards",1,137,137
"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards",1,31,31
"Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Steam Leaderboards",1,101,101
"Single-player;Multi-player;Steam Achievements;Valve Anti-Cheat enabled;Steam Leaderboards",1,132,227
"Single-player;Steam Cloud;Includes level editor",1,30,30
"Single-player;Multi-player;Co-op;Steam Cloud;Includes level editor",1,10,10
"Single-player;Multi-player;Co-op;Steam Achievements;Steam Leaderboards;Includes level editor",1,292,365
"Single-player;Steam Achievements;Captions available;Partial Controller Support;Stats",1,81,81
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards",1,1993,1205
"Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Valve Anti-Cheat enabled;Stats",1,172,150
"Single-player;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards",1,165,169
